category,expiration_date,name,price,product_id,production_date,quantity,rating,status,price_in_$
Фрукты,2025-03-09,Яблоко,2241,1,2013-08-18,56,1.41,Delivered,211191.84
Мясо,2002-01-15,Куриные грудки,9467,2,1998-09-04,472,0.21,New,892170.08
Молочные продукты,2020-05-01,Шубат,3812,3,2015-05-14,11,1.89,Available for Pickup,359242.88
Молочные продукты,2023-03-03,Пармезан,9478,4,2018-03-02,364,0.1,Shipping,893206.72
Мясо,2012-08-10,Гусиные потроха,9476,5,2003-01-13,646,4.65,Shipping,893018.24
Овощи,2007-01-01,Окра,1730,6,1999-03-04,837,1.8,In Stock,163035.19999999998
Овощи,2005-10-02,Патиссон,8246,7,2003-01-03,208,2.13,Shipping,777103.0399999999
Мясо,2025-06-04,Вымя,8220,8,1991-02-06,593,0.15,Returned,774652.7999999999
Овощи,2030-02-27,Помидор,8675,9,2015-01-22,672,4.36,Backorder,817532.0
Товары для дома,2029-06-11,Пакеты для фестиваля,4242,10,1995-01-01,13,2.67,Shipping,399766.07999999996
Напитки,2020-04-10,Burn,5827,11,2008-06-02,778,2.5,Refunded,549136.48
Напитки,2023-02-10,Газированная вода,4831,12,1993-01-01,151,0.7,Cancelled,455273.44
Овощи,2015-02-05,Фенхель,5929,13,2012-04-12,737,4.69,Returned,558748.96
Товары для дома,2018-07-01,Термосы,6078,14,1990-03-04,528,2.82,New,572790.72
Напитки,2016-02-01,Сок апельсиновый,7262,15,1999-01-04,411,4.34,New,684370.88
Товары для дома,2014-07-03,Пакеты для Всемирного дня книг,6214,16,1993-02-13,165,0.73,Awaiting Payment,585607.36
Напитки,2024-01-03,Bonaqua,9535,17,1993-05-05,856,3.72,Delivered,898578.3999999999
Фрукты,2025-02-02,Манго,9789,18,2003-03-08,855,0.82,Pending,922515.36
Мясо,2021-05-10,Ветчина,3641,19,2009-02-07,157,3.19,Returned,343127.83999999997
Овощи,2009-04-01,Батат,4651,20,2001-04-03,737,2.06,Out of Stock,438310.24
